university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
北海道大学,アルティメットサークルPADDY,体育系,,,公認,hokudai_web,https://x.com/hu_ulti_paddy,https://instagram.com/huc.paddy,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
北海道大学,カヌークラブ,体育系,,,公認,hokudai_web,https://x.com/hokudaicanoe,https://instagram.com/hokudaicanoe,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
北海道大学,交響楽団,文化系,,,公認,hokudai_web,https://x.com/huso_shinkan,https://instagram.com/hokudai_ok,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
北海道大学,合気会合気道部,体育系,,,公認,hokudai_web,https://x.com/HUAikikaiaikido,https://instagram.com/hokudai_aikikai,,https://hubcnavi.net/athletic/aikido,,ok(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_content
北海道大学,武田流中村派合気道部,体育系,,,公認,hokudai_web,https://x.com/hokuseiaikido,,,https://hubcnavi.net/takeda_aikido,hokudaibasket@gmail.com,ok(3),,,,,DM/メール/LINE,,,,,,,,火 18:15,,あり,,,,,,,,,体験参加後,,,,agramのDMまでご連絡ください！  新歓時期の活動時間は次の通りです。  火 18:15-20:00 師範がいらっしゃいます    木 16:30-18:00 授業優先です    土 18:00-20:00  ## データ  |  |,大会/合宿,,,,,,,,ok(6)
北海道大学,アメリカンフットボール部,体育系,,,公認,hokudai_web,https://x.com/First_Molars,,,https://dormy-hokkaido.com/pickup/hokudaikounin-bukatsu/,,ok(2),CC7,,,,LINE,,,,true,,部室,週2回,日,アットホーム/初心者歓迎,,自由参加,,,,,,,可,体験参加後/見学歓迎,,,,います。  ＼最新情報／  ★オンライン新歓＆相談会を開催  ★新入生歓迎会でトレ体験＆レクを開催  ★部員は、SAJ検定（1～5級の「級別テスト」公認検定員がジャッジし、規定のポイント以上を獲得すると合格）2級から受け始めて1級に挑戦,大会,優勝/準優勝/入賞/受賞/全国大会,,,,,,https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png,ok(14)
北海道大学,居合道部,体育系,,,公認,hokudai_web,https://x.com/hokudai_iai2023,https://instagram.com/hokudaiiaido,,https://dormy-hokkaido.com/pickup/hokudaikounin-bukatsu/,,ok(3),CC7,,,,LINE,,,,true,,部室,週2回,日,アットホーム/初心者歓迎,,自由参加,,,,,,,可,体験参加後/見学歓迎,,,,います。  ＼最新情報／  ★オンライン新歓＆相談会を開催  ★新入生歓迎会でトレ体験＆レクを開催  ★部員は、SAJ検定（1～5級の「級別テスト」公認検定員がジャッジし、規定のポイント以上を獲得すると合格）2級から受け始めて1級に挑戦,大会,優勝/準優勝/入賞/受賞/全国大会,,,,,,https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png,ok(14)
北海道大学,応援吹奏団,体育系,,,公認,hokudai_web,https://x.com/hokudaiousui,https://instagram.com/hokudaiousui,,https://hokudaitaiikukaipr.wixsite.com/shoukai/about-club/%E5%BF%9C%E6%8F%B4%E5%90%B9%E5%A5%8F%E5%9B%A3,,ok(3),,,,,メール,,,,,,,,日,,,,,,,,,,,,,,,,演奏会,,,,,,,,ok(3)
北海道大学,応援団,体育系,,,公認,hokudai_web,https://x.com/hokudaiousui,https://instagram.com/ouendan_hu,,https://www.hokudaishinbun.com/2020/04/28/3720/,,ok(3),,,,https://www.facebook.com/Hokudaishinbun,LINE,,,,,,,週３回,日,,,,,,,,,,,,,,,触れて切に新入団員を募集しているとした。新歓の日程や内容など最新情報についてはホームページ（hokudai-oendan.com）をチェックしてほしい、としている。  ### *関連記事*  ### コメントを残す [コメントをキャンセル],,,,,,,,https://www.hokudaishinbun.com/wp-content/uploads/2020/09/Logo_for_NewWebsite.png; https://www.hokudaishinbun.com/wp-content/plugins/wp-social-bookmarking-light/public/images/line88x20.png; https://www.hokudaishinbun.com/wp-content/uploads/2020/04/ouendan-1024x768.jpg,ok(6)
北海道大学,オリエンテーリングクラブ,体育系,,,公認,hokudai_web,https://x.com/hokuolc_shinkan,https://instagram.com/hokuolc_shinkan,,https://dormy-hokkaido.com/pickup/hokudaikounin-bukatsu/,,ok(3),CC7,,,,LINE,,,,true,,部室,週2回,日,アットホーム/初心者歓迎,,自由参加,,,,,,,可,体験参加後/見学歓迎,,,,います。  ＼最新情報／  ★オンライン新歓＆相談会を開催  ★新入生歓迎会でトレ体験＆レクを開催  ★部員は、SAJ検定（1～5級の「級別テスト」公認検定員がジャッジし、規定のポイント以上を獲得すると合格）2級から受け始めて1級に挑戦,大会,優勝/準優勝/入賞/受賞/全国大会,,,,,,https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png; https://dormy-hokkaido.com/wp-content/themes/dormy/common/images/header/logo.png,ok(14)
