university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
東京科学大学,サッカー部,体育系,,,公認,titech_web,https://x.com/sciencetokyo_fc,https://instagram.com/sciencetokyo_fc,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京科学大学,体育会卓球部,体育系,,,公認,titech_web,https://x.com/STokyoTTC,https://instagram.com/sciencetokyo_tabletennis,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
東京科学大学,硬式野球部,体育系,,,公認,titech_web,https://x.com/titech_baseball,https://instagram.com/tmdu_baseball,,https://www.titech.ac.jp/public-relations/students/extracurricular/organizations/baseball,,ok(3),Science Tokyo,,,,,,,,true,,グラウンド,週に5日,月,,あり,,,,,明治,,,可,見学歓迎,,,,,学園祭/合宿,優勝,,ボランティア,,,,,ok(12)
東京科学大学,準硬式野球部,体育系,,,公認,titech_web,https://x.com/ST_Junko_2025,https://instagram.com/sciencetokyojyunko,,http://junkohbaseball.web.fc2.com/,,ok(3),,,,,DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://junkohbaseball.web.fc2.com/PagePhoto/2017_S.jpg; http://junkohbaseball.web.fc2.com/PagePhoto/2016_S.jpg; http://junkohbaseball.web.fc2.com/PagePhoto/2018_S.jpg,ok(2)
東京科学大学,ソフトテニス部（大岡山）,体育系,,,公認,titech_web,https://x.com/campuslife,,,https://www.sgu.ac.jp/campuslife/club/sports/do050b0000000506.html,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_content
東京科学大学,ハンドボール部,体育系,,,公認,titech_web,https://x.com/titechhandball,https://instagram.com/sciencetechhan,,https://www.toyaku.ac.jp/campus/club/,,ok(3),Arch,https://www.youtube.com/channel/UCD9zy9ZBm-Z15dcE16cx6XA,,,DM/メール/LINE,,,,true,,体育館/コート/プール/部室,週1回,金,ゆるい/アットホーム/初心者歓迎,あり,自由参加,20人,,,東大,,可,,体験参加後/見学歓迎,,,,jimdosite.com/) | | 新歓祭実行委員会 | 私達は主に、新入生同士の横のつながり、新入生と上級生の縦のつながりを作る手助けをし、少しでも学生の皆さんに大学生活を楽しんでもらうために活動しています。活動内容は4月の新歓祭（新,学園祭/大会/合宿/発表会/演奏会/公演,優勝/受賞,,,,,,,ok(17)
東京科学大学,ラグビー部,体育系,,,公認,titech_web,https://x.com/titrfc,https://instagram.com/tmdu_rugby,,https://titech.info/circle/73,,ok(3),,,,,DM/LINE,,,,false,,グラウンド,週５回,日,アットホーム/初心者歓迎,あり,,,,,東大,,,可,体験参加後,,,,囲気を見に来てください！詳細や活動状況は新歓Twitter・Instagram・公式LINEにて更新していきます。質問などあれば気軽にDMやチャットで送ってくださいね！部員一同みなさんと活動できることを心待ちにしています！！  ## 活動予,大会/合宿,,,,,,,,ok(12)
東京科学大学,アメリカンフットボール部,体育系,,,公認,titech_web,https://x.com/tokyotech_buffs,https://instagram.com/buffaloes_sciencetokyo,,https://titech.info/circle/74,,ok(3),,,,,,,,,false,,グラウンド,週５回,月,ガチ系/初心者歓迎,あり,,,,,,,,可,,,,,,合宿,,,,,,,,ok(8)
東京科学大学,バレーボール部,体育系,,,公認,titech_web,https://x.com/zn_vc,https://instagram.com/scvabo_sk_2025,,https://www.toyaku.ac.jp/campus/club/,,ok(3),Arch,https://www.youtube.com/channel/UCD9zy9ZBm-Z15dcE16cx6XA,,,DM/メール/LINE,,,,true,,体育館/コート/プール/部室,週1回,金,ゆるい/アットホーム/初心者歓迎,あり,自由参加,20人,,,東大,,可,,体験参加後/見学歓迎,,,,jimdosite.com/) | | 新歓祭実行委員会 | 私達は主に、新入生同士の横のつながり、新入生と上級生の縦のつながりを作る手助けをし、少しでも学生の皆さんに大学生活を楽しんでもらうために活動しています。活動内容は4月の新歓祭（新,学園祭/大会/合宿/発表会/演奏会/公演,優勝/受賞,,,,,,,ok(17)
東京科学大学,硬式庭球部,体育系,,,公認,titech_web,https://x.com/ttt_shinkan,https://instagram.com/titechtennisclub,,https://tokyotech.wixsite.com/tokyotechtennis,pr.info@adm.isct.ac.jp,ok(4),,,,,,,,,true,,コート,週3回,日,,あり,,,,,,,,可,,,,,,合宿,,,,,,,"https://static.wixstatic.com/media/84e1c4_2dfa1906f6bc477aa3e53f2db79f3fca~mv2.jpg/v1/crop/x_0,y_1238,w_3024,h_2087/fill/w_379,h_258,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/IMG_9307.jpg",ok(8)
