university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
上智大学,上智大学軟式野球部,未組織団体,,,公認,sophia_web,https://x.com/SophiaFireBirds,https://instagram.com/sophiafirebirds,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,体育会女子バスケットボール部,体育団体連合会,,,公認,sophia_web,https://x.com/SophiaWbbc,https://instagram.com/sophia.wbbc,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,APeS,同好会愛好会連合,,,公認,sophia_web,https://x.com/sophia_apes,https://instagram.com/agu_palan_insta,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,体育会合気道部,体育団体連合会,,,公認,sophia_web,https://x.com/sophia_aikido,https://instagram.com/sophia_aikido,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,体育会応援団,体育団体連合会,,,公認,sophia_web,https://x.com/sophia_ouendan,https://instagram.com/sophia_ouendan,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,上智大学インカレチアダンスサークルJESTY,未組織団体,,,公認,sophia_web,https://x.com/JestySophia,https://instagram.com/jestysophia,,,jesty.sophia.cheerdance@gmail.com,ok(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,チアバトンサークルLily,未組織団体,,,公認,sophia_web,https://x.com/Lily_cheerbaton,https://instagram.com/lily_sophia_cheerbaton,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,dance crew EAGLE,未組織団体,,,公認,sophia_web,https://x.com/EAGLEdance05,https://instagram.com/dance_crew_eagle,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,PiXiA,未組織団体,,,公認,sophia_web,,https://instagram.com/pixia_official,,,,ok(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,Krone,未組織団体,,,公認,sophia_web,https://x.com/Krone_Sophia,https://instagram.com/krone__2024,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,FC.ARMADOR,未組織団体,,,公認,sophia_web,https://x.com/fukuokastp,https://instagram.com/fcarmador_2025,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,F.C.CLAVELINA,未組織団体,,,公認,sophia_web,,,,,,ok(0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,体育会女子ラクロス部,体育団体連合会,,,公認,sophia_web,https://x.com/sophia_lacrosse,https://instagram.com/sophia.lacrosse,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
上智大学,体育会ウインドサーフィン部,体育団体連合会,,,公認,sophia_web,https://x.com/sophiawind20,https://instagram.com/sophiawindsurf1979,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
