university,name,code,number,circleguide_url,status,source,twitter,instagram,line,website,email,search_status,nickname,youtube,tiktok,facebook,contact_method,description,appeal,genre,is_intercollege,campus,location_detail,activity_frequency,activity_schedule,atmosphere,camp_info,attendance_policy,member_count,gender_ratio,grade_composition,other_universities,founded_year,allows_dual_membership,accepts_late_entry,entry_requirements,fee_entry,fee_annual,fee_other,shinkan_info,events,achievements,sponsorship_history,external_activities,alumni_careers,annual_budget,event_attendance,photo_urls,extract_status
京都大学,バスケットボール部,体育会,,,公認,kyoto_web,https://x.com/kook_ku_bsk,https://instagram.com/kook_basket,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,京大T.C.T,体育系サークル,,,公認,kyoto_web,https://x.com/tct_2024,https://instagram.com/tct_2025,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,バスケットボールサークルフリークラブ,体育系サークル,,,公認,kyoto_web,https://x.com/freeclubbasket,https://instagram.com/freeclub_official,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,PENTA,体育系サークル,,,公認,kyoto_web,https://x.com/PENTA_KU,https://instagram.com/penta_ku,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,軽音楽部,文化系サークル,,,公認,kyoto_web,https://x.com/rockpum_pr,https://instagram.com/rock_pum,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,アニメーション同好会,文化系サークル,,,公認,kyoto_web,https://x.com/kuals_official,https://instagram.com/hyakuninben,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,かるた会,文化系サークル,,,公認,kyoto_web,https://x.com/boiler_kucarta,https://instagram.com/boiler_kucarta,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,歴史研究会,文化系サークル,,,公認,kyoto_web,https://x.com/NF24byzanz,https://instagram.com/kurekikenbyzanz,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,11月祭全学実行委員会,文化系サークル,,,公認,kyoto_web,https://x.com/nfoffice,https://instagram.com/nfoffice,,,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_website
京都大学,硬式野球部,体育会,,,公認,kyoto_web,https://x.com/kyoto_bbc_DB,https://instagram.com/kyotobaseball_shinkan,,https://kyoto-u.2025.giving-campaign.jp/groups?id=15812114-6262-407d-9932-8e2cc7bbe4cc,,ok(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://d2pge145h4hrsw.cloudfront.net/kyoto-u.png; https://d2pge145h4hrsw.cloudfront.net/kyoto-u.png; https://d3dz0yrkzkfgn0.cloudfront.net/alternative_logomark_image_url/aa3b52ee-5baf-4fbc-9ee2-f827bec9e7b3.jpg,ok(1)
京都大学,ソフトテニス部,体育会,,,公認,kyoto_web,https://x.com/KU_softtennis,https://instagram.com/ku_softtennisclub,,http://ku-st.main.jp/shinnyuusei/index.html,,ok(3),,,,,DM,,,,true,,コート/部室,,日,初心者歓迎,,,,,,東大,,,,見学歓迎,,,,祭 | | ５月 | 関西学生春リーグ 新歓コンパ | | ６月 | 春関西六大学リーグ 京都学生選手権 | | ７月 | 西日本学生選手権 | | ８月 | インカレ 近畿国立大学対抗戦 | | ９月 | 国立七大学対抗戦（七帝戦） 関西,,,,,,,,,ok(8)
京都大学,サッカー部,体育会,,,公認,kyoto_web,https://x.com/kyoto_soccer,https://instagram.com/kyodai_riko,,https://www.kyoto-gakuseisaiten.com/shinkan_group/4182,,ok(3),,,,https://www.facebook.com/tr,,,,,true,,,週3回,日,,あり,,,,,,,,,,,,,8.jpg)  ## WEB版 春の合同新歓祭！  ### 団体情報  ### 京大理工サッカー部  京大理工サッカー部です！部とついていますがインカレのサークルで、どの学部でも入れます！真剣に楽しくサッカーをしたい人、待ってます！！,大会/合宿,,,,,,,https://www.kyoto-gakuseisaiten.com/main_site/wp-content/themes/du_theme/images/header-logo_24.webp; https://www.kyoto-gakuseisaiten.com/main_site/wp-content/themes/du_theme/images/gnav01.png; https://www.kyoto-gakuseisaiten.com/main_site/wp-content/uploads/2020/02/01_about-us.jpg,ok(8)
京都大学,ラグビー部,体育会,,,公認,kyoto_web,https://x.com/kiurfc1922,https://instagram.com/kiurfc2022shinkan,,https://linktr.ee/kiurfc,,ok(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ugc.production.linktr.ee/gJCI2HhLR8eYbCHBpQWv_f87075_d8ce97f186014932b5f6c4c75d570df5%257Emv2.png,ok(1)
京都大学,バレーボール部,体育会,,,公認,kyoto_web,https://x.com/JUSTICE__2021,https://instagram.com/molten.volleyball,,https://kumvolley.com/,,ok(3),,,,,,,,,true,,体育館,月1日,月,,,,,,,,,,,,,,,,大会,優勝,,,,,,https://kumvolley.com/wp-content/uploads/2023/10/cropped-cropped-img_4257.jpg; https://kumvolley.com/wp-content/uploads/2023/10/cropped-cropped-img_4257.jpg,ok(7)
京都大学,卓球部,体育会,,,公認,kyoto_web,https://x.com/spinners_KU,https://instagram.com/spinners_2025,,https://www.kyoto-wu.ac.jp/student/club/club/spo_table_tennis.html,,ok(3),REC,https://www.youtube.com/channel/UCDoZ2Pccwwz7lxEKmZpdmWw,,https://www.facebook.com/wisteriaKWU,DM/LINE,,,,,,体育館,,水,,,,,,,,,,,体験参加後/見学歓迎/誰でも可,,,,## 年間行事  1. 4月     新歓、新人戦 2. 5月     春季リーグ戦 3. 7月     九大戦 4. 8月     全日本学生卓球大会 5. 9月     秋季リーグ戦 6. 10月     九大戦 7. 11月 8.,大会,優勝/準優勝/メディア,,ボランティア,,,,,ok(11)
京都大学,バドミントン部,体育会,,,公認,kyoto_web,https://x.com/hanenchuchu,https://instagram.com/kit_badminton,,https://campus-map.jp/kyoto/club/52/,,ok(3),Twitter,,,,DM/LINE,,,,true,,体育館,月1日,日,,あり,,,,,,,,可,誰でも可,,,,4月    - * ### 5月    新歓コンパ * ### 6月    - * ### 7月    さわらぎオープン(ミックスダブルス) * ### 8月    西コメ(人健)・西医体(医学科) * ### 9月    - * ###,大会/合宿,,,,,,,https://campus-map.jp/kyoto/wp-content/uploads/2024/02/052_京都大学医学部バドミントン部_01.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/052_京都大学医学部バドミントン部_02.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/052_京都大学医学部バドミントン部_01.jpg,ok(12)
京都大学,硬式庭球部,体育会,,,公認,kyoto_web,https://x.com/kutt_girl,https://instagram.com/kutls__official,,https://kutt.site/,,ok(3),KUTT,,,,,,,,,,コート,,月,,,,,,,,,,,,,,,,,,,,,,,https://kutt.site/wp-content/uploads/2023/09/cropped-ogimage.jpg,ok(4)
京都大学,ハンドボール部,体育会,,,公認,kyoto_web,https://x.com/kyodaihand_2024,https://instagram.com/kyodaihand2022,,https://kium-handball.jimdofree.com/%E9%83%A8%E5%93%A1%E7%B4%B9%E4%BB%8B/mg%E6%BE%A4%E6%AD%A6-m1/,,ok(3),OB,,,,,,,,,,コート,,水,,,,,,学部+院生,,,,,,,,,* [部活紹介](/部活紹介/) * [新歓情報](/新歓情報/) * [試合結果](/試合結果/)   + [2025.9~2026.8](/試合結果/2025-9-2026-8/)   + [2024.9~2025.8](/試合結果/2,,,,,,,,https://image.jimcdn.com/app/cms/image/transf/dimension=120x10000:format=png/path/s9c802452f3292edc/image/ia6e930bde6fb0ece/version/1760324673/image.png; https://image.jimcdn.com/app/cms/image/transf/none/path/s9c802452f3292edc/image/i90339e09ca8f0f4f/version/1757986945/image.png,ok(6)
京都大学,ホッケー部,体育会,,,公認,kyoto_web,https://x.com/KU_hockey,https://instagram.com/ku_hockey,,https://www.fhobkoori.com/m/sns/,,ok(3),Twitter,,,,DM,,,,true,,グラウンド,,日,初心者歓迎,,,12人,,,,,,,,,,,西2部リーグ所属  ### insta「新歓2026」  ![↑↑↑ 「新歓2026」が開きます。](https://image.jimcdn.com/cdn-cgi/image/width=225%2Cheight=10000%2Cfit,,,,,,,,https://image.jimcdn.com/app/cms/image/transf/dimension=230x10000:format=jpg/path/sea2e68329b954604/image/i24a87d14ba51f971/version/1651554269/image.jpg; https://image.jimcdn.com/app/cms/image/transf/dimension=225x10000:format=jpg/path/sea2e68329b954604/image/i1d358fe5872b196f/version/1771916119/image.jpg; https://image.jimcdn.com/app/cms/image/transf/dimension=225x10000:format=jpg/path/sea2e68329b954604/image/i2e7c892a427d93e1/version/1771916144/image.jpg,ok(9)
京都大学,アメリカンフットボール部,体育会,,,公認,kyoto_web,https://x.com/KyotoU_Football,https://instagram.com/gangsters_kyoto,,http://gangsters-web.com/news/,,ok(3),,,,,,,,,false,,,,日,,あり,,,,,中央,,,,体験参加後,,,,,合宿,,,,,,,http://gangsters-web.com/sys/wp-content/uploads/logo_header_2017.png; http://gangsters.sakura.ne.jp/index01/images/icon/icn_inform.png; http://gangsters.sakura.ne.jp/index01/images/icon/icn_inform.png,ok(7)
京都大学,ラクロス部男子,体育会,,,公認,kyoto_web,https://x.com/KyotoUniv_Lax,https://instagram.com/kyotouniv_lax,,https://linktr.ee/24kulrecruit,,ok(3),,https://youtube.com/@user-iq1su7su6i,,,LINE,,,,,,,,,,,,,,,,,,,体験参加後/見学歓迎,,,,=avatar-v3_0)  ### ☟新歓イベント申し込みはこちらから☟  [朝練見学/体験](https://forms.gle/ZBaaVrsxGLk3KA1S7)  [夕パス見学/体験](https://forms.gle/13nG,,,,,,,,https://ugc.production.linktr.ee/42097ea4-cd3d-4ab7-a7b1-9f6cf0b0ed53_IMG-0877.jpeg,ok(5)
京都大学,ラクロス部女子,体育会,,,公認,kyoto_web,https://x.com/kyotolaxshinkan,https://instagram.com/kyotolax_shinkan,,https://ameblo.jp/kyotolaxblg/entry-12893007330.html,,ok(3),,,,,,,,,,,,毎日,日,,,,,,,,,,,,,,,ーーーーーーーーーー  #京大女ラク #新歓ブログ #ラクロス #大学からラクロス #女子ラクロス部 #夢中になれる4年間がここに #京都大学  ![](https://ln.ameba.jp/v2/ra/zBymKrvv?qat=view,,,,,,,,,ok(3)
京都大学,ゴルフ部,体育会,,,公認,kyoto_web,https://x.com/kualbatross,https://instagram.com/kyotogaidai.golf,,https://www.kufs.ac.jp/news/detail.html?id=NI2kSY2p,kyotou.golf@gmail.com,ok(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_content
京都大学,準硬式野球部,体育会,,,公認,kyoto_web,,https://instagram.com/kyodai.junko_official,,http://kyodai-junkobaseball.com/member/,,ok(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_content
京都大学,陸上競技部,体育会,,,公認,kyoto_web,https://x.com/KU_TF,https://instagram.com/kyodai_tf,,https://campus-map.jp/kyoto/club/60/,,ok(3),Twitter,,,,LINE,,,,true,,グラウンド,週5回,日,,,,,,学部+院生,東大,,,可,,,,,"| 入会金 | 8,000円 | | 新歓日程 | - | | SNSリンク | [X（Twitter）](https://x.com/ku_tf) [Instagram](https://www.instagram.com/kutf20",大会,,,,,,,https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_89721.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_89721.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_8972.jpg,ok(12)
京都大学,水泳部,体育会,,,公認,kyoto_web,https://x.com/KyotoUnivST,https://instagram.com/official_miconos,,https://campus-map.jp/kyoto/club/84/,,ok(3),Twitter,https://youtube.com/@kyotouniversitywaterpolote5054,,,DM/LINE,,,,true,,プール,週5日,水,アットホーム/初心者歓迎,あり,,,,,,,,可,体験参加後,,,,スケジュール  * ### 4月    新歓(体験水球など) * ### 5月    新歓 * ### 6月    - * ### 7月    学生リーグ(引退試合) * ### 8月    七帝戦 * ### 9月    1ヶ月オフ *,大会/合宿,,,,,,,https://campus-map.jp/kyoto/wp-content/uploads/2024/02/084_京都大学水泳部水球面_02.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/084_京都大学水泳部水球面_12.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/084_京都大学水泳部水球面_11.jpg,ok(14)
京都大学,体操部,体育会,,,公認,kyoto_web,https://x.com/kyotogymnastics,https://instagram.com/nyanko_love.2023,,https://kyotogymnastics.1web.jp/,,ok(3),,,,,,,,,false,,体育館,,,,,,,,,,,,,,,,,2023/3/13 Instagram新歓アカウントが始動しました！<https://www.instagram.com/nyanko_love.2023/?igshid=YmMyMTA2M2Y%3D>  2023/3/5 Twitter,,,,,,,,,ok(3)
京都大学,柔道部,体育会,,,公認,kyoto_web,https://x.com/kyoto_fish_life,https://instagram.com/kyodai_judo_since1897,,https://t.co/DXCaCcw4z9,,ok(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_content
京都大学,剣道部,体育会,,,公認,kyoto_web,https://x.com/kyodaikendo,https://instagram.com/kyodaikendo,,https://www.kendo.kusu.kyoto-u.ac.jp/%E5%85%A5%E9%83%A8%E3%82%92%E5%B8%8C%E6%9C%9B%E3%81%95%E3%82%8C%E3%82%8B%E6%96%B9%E3%81%B8/,,ok(3),,,,,DM/メール,,,,,,,月9日,日,アットホーム,,,54人,,,東大,,,可,体験参加後/見学歓迎,,,,DM やメールでのご連絡も大歓迎です！新歓情報もSNSを中心にどんどん発信して参ります。是非チェックしてみてください。  皆さまの入部を心よりお待ちしています！！  ## **久保田女子主将より**  　新入生の皆様、京都大学へのご入学お,大会,優勝/全国大会,,,,,,,ok(11)
京都大学,弓道部,体育会,,,公認,kyoto_web,https://x.com/ku_kyudo_2026,https://instagram.com/kyodaikyudo,,https://campus-map.jp/kyoto/club/61/,,ok(3),Twitter,,,,DM/LINE,,,,false,,,週3回,日,,,必須,,,,,,,可,体験参加後/見学歓迎,,,,！少しでも興味のある方はぜひ、オンライン新歓や合練見学、体験入部にいらっしゃってください！初心者大歓迎です！  ## ぶっちゃけQ&A  ### このサークルでしか味わえない魅力は？  立派な弓道場でいつでも弓を引くことができます。また、弓,,,,,,,,https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_9154.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_9154.jpg; https://campus-map.jp/kyoto/wp-content/uploads/2024/02/IMG_9153.jpg,ok(10)
